Run_Type,Photo_average_accuracy,Photo_stddev,Art_average_accuracy,Art_stddev,Cartoon_average_accuracy,Cartoon_stddev,Sketch_average_accuracy,Sketch_stddev
Random,33.07,55.5468694,29.16333333,49.64886739,30.41,51.80805246,29.99,50.22210967
Local_no_comm,31.69,53.15663928,26.38333333,44.83403655,28.16,47.91113441,27.7,46.2565671
Oracle,33.17666667,55.73162148,29.91,50.94206808,31.76,54.14621686,30.58333333,51.24959349
DACINV,65.56666667,55.91650233,59.23,50.43171324,62.00666667,52.83491396,59.09,49.44641645
DACCOSB,97.35666667,0.4277070649,86.61,1.070560601,91.16666667,0.5357549191,87.27333333,1.288772025
DACCOSORIGIN,96.94333333,0.6201075176,86.49666667,1.07295542,90.83,0.06244997998,87.45333333,1.0715565
DACL2,97.95666667,0.3780652501,88.04,1.33,91.15,1.155724881,86.66,1.610807251
All data,33.6,56.46485633,31.17666667,53.13589778,32.25,54.99488613,31.57,52.95823543
